,news_headline,news_article,news_category
0,"2 crore Gionee mobiles were secretly planted with malware, says China court","Two crore mobiles made by Chinese company Gionee were intentionally inflicted with Trojan Horse via an app between December 2018 and October 2019, according to a Chinese court's verdict. The app became a tool to profit from users through unsolicited ads and other illegitimate means. Gionee's subsidiary Shenzhen Zhipu implanted the malware through an update of 'Story Lock Screen' app. ",technology
1,Musk's Boring Company shares a glimpse of Las Vegas loop station,"The Boring Company shared a short clip on Twitter showing one of the underground stations that the company is building as part of its Las Vegas Convention Center (LVCC) loop. In September, Founder Elon Musk said the first operational tunnel under Vegas was almost complete. ""Tunnels under cities with self-driving electric cars will feel like warp drive,"" he had added.",technology
2,"1,500 Google employees demand answer over researcher's alleged firing","Over 1,500 Google employees have signed a petition against AI researcher Timnit Gebru's alleged firing and demanded an explanation for censorship of Gebru's research paper. Gebru was allegedly fired after she sent an email to her colleagues discussing the censorship by Google. The petition said Gebru has faced ""defensiveness, racism, gaslighting, research censorship, and now a retaliatory firing"".",technology
3,Apple CEO Tim Cook adds his pronouns to his Twitter bio,"Apple CEO Tim Cook has recently added his gender pronouns ""he/him"" to his Twitter bio. Adding pronouns as an introduction is widely seen as a way of creating an inclusive environment for transgenders. Another senior Apple executive, Greg Joswiak also added pronouns recently. Cook came out as gay in 2014, becoming one of the first major CEOs to do so. ",technology
4,"Twitter allows physical security key support for iPhones, Android devices","Twitter has rolled out hardware security key support for iPhones and Android devices, enabling users with a security key on their account to use it to log in from their mobiles. Hardware security keys support was first announced in 2018, with the aim of ""allowing users to add a physical security barrier instead of two-factor authentication options,"" reported TechCrunch.",technology
5,Many accounts engaged with China's tweet on Aus soldier fake: Report,"Israeli firm Cyabra claimed that 57.5% of 1,344 profiles it analysed, that engaged with China's foreign ministry spokesman Zhao Lijian's tweet on Australian soldier, were fake. It found ""evidence of a largely orchestrated disinformation campaign"" to amplify its message. An ASPI researcher also claimed she had noticed ""unusual behaviour"" by Twitter accounts retweeting or liking the post.

",technology
6,Banks need experienced chief risk officers to handle cybercrime: Deloitte,"The Indian banking industry needs to hire experienced chief risk officers to deal with cybercrimes, Deloitte said in a report. The sector witnessed increased cyberattacks as it accelerated efforts to ensure digital banking and remote access to employees during the pandemic, it added. Rising cyber threats after COVID-19 pose serious concerns for Indian banks and the RBI, it further said.",technology
7,Take strict action against Amazon for causing misery to traders: CAIT to ED,"Traders' body CAIT has written to the ED seeking ""strict action"" against Amazon, claiming that it has caused ""misery"" to small traders by resorting to predatory pricing. It has provided ED with all the ""necessary details"" to prove that Amazon has ""brazenly"" violated India's laws. It has also raised questions on how Amazon has been ""carrying on multi-brand retail trading"".",technology
8,JD.com to be 1st online portal to accept China's digital currency,"Chinese e-commerce company JD.com said it will become the country's first virtual platform to accept Beijing's digital currency. JD Digits will accept digital yuan as payment for some products on its online mall, as part of an experimental giveaway of digital yuan to citizens of Suzhou. Digital vouchers worth 20 million yuan in total will be distributed to selected residents.",technology
9,Sick of talking about Microsoft: Slack CEO if competition forced Salesforce deal,"Slack CEO Stewart Butterfield in an interview discussing the idea that competition from Microsoft forced the Salesforce deal said he is ""sick of talking about Microsoft"". He added that the narrative will eventually be ""dispelled"". Butterfield also believes that he will become one of Salesforce's presidents after it buys Slack for $27.7 billion.",technology
